COMMENT,ORIGINATOR,NORAD_CAT_ID,OBJECT_NAME,OBJECT_TYPE,CLASSIFICATION_TYPE,INTLDES,EPOCH,EPOCH_MICROSECONDS,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,FILE,TLE_LINE0,TLE_LINE1,TLE_LINE2,OBJECT_ID,OBJECT_NUMBER,SEMIMAJOR_AXIS,PERIOD,APOGEE,PERIGEE,DECAYED
GENERATED VIA SPACETRACK.ORG API,18 SPCS,34602,GOCE,PAYLOAD,U,09013A,2013-10-21 2:53,428832,16.17152759,0.0006537,96.5529,323.3758,5.3716,70.7708,0,999,26958,-1.1624E-06,-0.00002377,1.9206E-06,1567159,0 GOCE,1 34602U 09013A   13294.12073413 -.00002377  19206-5 -11624-5 0  9991,2 34602 096.5529 323.3758 0006537 005.3716 070.7708 16.17152759269580,2009-013A,34602,6605.435,89.045,231.618,222.982,1
GENERATED VIA SPACETRACK.ORG API,18 SPCS,34602,GOCE,PAYLOAD,U,09013A,2013-10-21 12:58,850943,16.17373525,0.0007299,96.5511,323.7985,1.7144,358.4327,0,999,26965,0.00015897,0.00245585,1.9192E-06,1567240,0 GOCE,1 34602U 09013A   13294.54080846  .00245585  19192-5  15897-3 0  9991,2 34602 096.5511 323.7985 0007299 001.7144 358.4327 16.17373525269655,2009-013A,34602,6604.834,89.033,231.52,221.878,1
GENERATED VIA SPACETRACK.ORG API,18 SPCS,34602,GOCE,PAYLOAD,U,09013A,2013-10-21 13:36,319680,16.17363756,0.0006649,96.5556,323.8221,8.8644,144.7814,0,999,26966,-8.5826E-07,-0.00001935,1.9227E-06,1567314,0 GOCE,1 34602U 09013A   13294.56719120 -.00001935  19227-5 -85826-6 0  9999,2 34602 096.5556 323.8221 0006649 008.8644 144.7814 16.17363756269662,2009-013A,34602,6604.86,89.034,231.117,222.334,1
GENERATED VIA SPACETRACK.ORG API,18 SPCS,34602,GOCE,PAYLOAD,U,09013A,2013-10-21 17:26,449535,16.172611,0.0006175,96.554,323.9845,14.6125,345.4061,0,999,26968,0.000027311,0.00041281,1.9206E-06,1567426,0 GOCE,1 34602U 09013A   13294.72641724  .00041281  19206-5  27311-4 0  9997,2 34602 096.5540 323.9845 0006175 014.6125 345.4061 16.17261100269687,2009-013A,34602,6605.14,89.039,231.084,222.926,1
GENERATED VIA SPACETRACK.ORG API,18 SPCS,34602,GOCE,PAYLOAD,U,09013A,2013-10-21 17:53,626591,16.17457302,0.0005768,96.5521,324.0031,0.257,111.4927,0,999,26968,0.00020446,0.00317349,1.9193E-06,1567605,0 GOCE,1 34602U 09013A   13294.74559753  .00317349  19193-5  20446-3 0  9996,2 34602 096.5521 324.0031 0005768 000.2570 111.4927 16.17457302269680,2009-013A,34602,6604.606,89.029,230.28,222.661,1
GENERATED VIA SPACETRACK.ORG API,18 SPCS,34602,GOCE,PAYLOAD,U,09013A,2013-10-22 2:38,645183,16.17666145,0.0005571,96.5522,324.369,357.6069,75.2463,0,999,26974,0.00020895,0.0032926,1.9203E-06,1567768,0 GOCE,1 34602U 09013A   13295.11010006  .00329260  19203-5  20895-3 0  9996,2 34602 096.5522 324.3690 0005571 357.6069 075.2463 16.17666145269745,2009-013A,34602,6604.037,89.017,229.581,222.223,1
GENERATED VIA SPACETRACK.ORG API,18 SPCS,34602,GOCE,PAYLOAD,U,09013A,2013-10-22 11:48,744575,16.17867734,0.0005489,96.552,324.7531,355.6328,141.1864,0,999,26981,0.0002033,0.00325094,1.9212E-06,1567921,0 GOCE,1 34602U 09013A   13295.49223084  .00325094  19212-5  20330-3 0  9994,2 34602 096.5520 324.7531 0005489 355.6328 141.1864 16.17867734269818,2009-013A,34602,6603.489,89.006,228.978,221.729,1
GENERATED VIA SPACETRACK.ORG API,18 SPCS,34602,GOCE,PAYLOAD,U,09013A,2013-10-22 14:13,635935,16.17939484,0.0006293,96.5518,324.8548,357.4304,2.6913,0,999,26982,0.00016603,0.00267047,0.000001922,1568037,0 GOCE,1 34602U 09013A   13295.59244949  .00267047  19220-5  16603-3 0  9998,2 34602 096.5518 324.8548 0006293 357.4304 002.6913 16.17939484269821,2009-013A,34602,6603.294,89.002,229.314,221.003,1
GENERATED VIA SPACETRACK.ORG API,18 SPCS,34602,GOCE,PAYLOAD,U,09013A,2013-10-22 20:30,686816,16.1806172,0.0005356,96.5522,325.1171,353.2231,92.2423,0,999,26986,0.00020479,0.00332152,1.9222E-06,1568245,0 GOCE,1 34602U 09013A   13295.85449869  .00332152  19222-5  20479-3 0  9993,2 34602 096.5522 325.1171 0005356 353.2231 092.2423 16.18061720269869,2009-013A,34602,6602.961,88.995,228.363,221.289,1
GENERATED VIA SPACETRACK.ORG API,18 SPCS,34602,GOCE,PAYLOAD,U,09013A,2013-10-23 3:53,507615,16.18259876,0.0005277,96.5524,325.4262,350.8312,84.7431,0,999,26991,0.00020042,0.00329825,1.9234E-06,1568393,0 GOCE,1 34602U 09013A   13296.16200819  .00329825  19234-5  20042-3 0  9990,2 34602 096.5524 325.4262 0005277 350.8312 084.7431 16.18259876269912,2009-013A,34602,6602.422,88.984,227.771,220.803,1
